layer_idx,layer_name,numel,err_mean,err_std,err_abs_max,err_rmse,delta_int8,theoretical_std,std_ratio,err_kurtosis,err_skewness,ks_stat,ks_pvalue,pct_within_half_delta,pct_within_delta,entropy_ratio,pch_std_ratio_mean,pch_std_ratio_median,pch_kurtosis_mean,pch_ks_stat_mean
26,model.input_blocks.7.0.cond_emb_layers.1,131072,1.6512794900336303e-06,0.0007524374523200095,0.003136351704597473,0.0007524392567574978,0.005381949773923618,0.0015536350753699235,1.000080094951708,-0.4550066598845688,-0.00015449417131226502,0.013987522506713868,0.03958579487313629,0.998992919921875,1.0,0.9998006038256688,0.9989305944487924,0.999235502639329,-1.1943823908898223,0.03776788618415594
27,model.input_blocks.7.0.out_layers.3,589824,-9.624801577956532e-07,0.0009615573799237609,0.005377765744924545,0.0009615578455850482,0.008914403324052104,0.0025733665794031887,0.9998909624353557,0.7661638740187149,-0.0027380598560551106,0.008696751022338856,0.43349712052998546,0.9991421169704862,1.0,0.9999556157799334,0.9996026937541438,0.9997472547591753,-1.1984216128323895,0.027661613173782826
28,model.input_blocks.8.0.in_layers.2,589824,1.913735331982025e-06,0.001453211298212409,0.006169050931930542,0.0014532128116115928,0.011395918572042871,0.003289718327616004,0.9994615944574576,-0.08395301167532976,0.0017056665172879965,0.006660964488983179,0.7640225440298973,0.9997100830078125,1.0,0.9999554815320542,0.9991848912857564,0.9993812750809719,-1.197987842011739,0.027145546497777104
29,model.input_blocks.8.0.emb_layers.1,262144,4.1958978158618265e-07,0.00036912562791258097,0.0021145492792129517,0.0003691258898470551,0.004157329872837217,0.00120011776059632,0.998623402918012,0.6636883001350466,-0.008274473238268592,0.007650184249877928,0.5991763957280973,0.9999618530273438,1.0,0.99985303098314,0.9974917815902475,0.9984095448352479,-1.1915237512855699,0.038556024548597634
30,model.input_blocks.8.0.cond_emb_layers.1,131072,-4.919878620057716e-07,0.0007846007938496768,0.0028332695364952087,0.0007846010266803205,0.005432827266182486,0.0015683221422955985,0.9999933748022888,-0.6229760337703718,0.00153141858844676,0.009977073431015004,0.27067313305322016,0.9998397827148438,1.0,0.9997558983169756,0.998733421445372,0.9992694680311849,-1.1931402979574877,0.03854931460227817
31,model.input_blocks.8.0.out_layers.3,589824,-3.361135725299391e-07,0.0008763658697716892,0.004370555281639099,0.0008763660443946719,0.00720069891824497,0.00207866272940109,1.0001733191123336,-0.2941304858820959,-0.00044685759974881576,0.005131673288345323,0.9536660924255238,0.9993303087022569,1.0,0.9999603058274236,0.999907468057545,0.9999109906603405,-1.1983329325783527,0.028061662602238358
32,model.input_blocks.9.0.in_layers.2,589824,-2.2425047063734382e-06,0.0010960795916616917,0.0059166112914681435,0.0010960818035528064,0.009614067753468911,0.0027753423027362884,1.0009191123973384,0.41050516917218216,-0.002673458801534615,0.007024263668060304,0.7044248524237315,0.9992438422309028,1.0,0.9999557125351393,1.0006460358732552,1.000860524677344,-1.2000036434161125,0.027076725118793547
33,model.input_blocks.9.0.emb_layers.1,262144,1.417919861523842e-06,0.00036417521187104285,0.0021473243832588196,0.0003641779185272753,0.0038449739611993625,0.001109948375762777,1.0015178943814234,0.9545033512616645,0.011248598773339839,0.006496010017394971,0.7900616427064526,0.9997596740722656,1.0,0.9998531368598226,1.0002441954130252,1.000944457393389,-1.196866524931356,0.03935800300678238
34,model.input_blocks.9.0.cond_emb_layers.1,131072,-1.95147595150047e-06,0.000819236331153661,0.0021524839103221893,0.0008192386594600976,0.004245966672897339,0.0012257050007837293,1.0019996041637922,-0.9284732288686954,0.0044737631135289375,0.01003141546249392,0.2648828072787096,0.9999465942382812,1.0,0.9997279617110607,1.0007434601378438,1.0020231424900632,-1.19886657125926,0.038246423937380314
35,model.input_blocks.9.0.out_layers.3,589824,-4.41442949750126e-07,0.001061542658135295,0.0033502504229545593,0.001061542658135295,0.0062714348158498445,0.0018104072895680494,0.9989419962288544,-0.8265894586368074,-0.0008686079427512914,0.006717727565765386,0.7548872948235076,0.9997677273220487,1.0,0.9999609433516774,0.9986889922899513,0.9986778611070817,-1.1974128199342102,0.027376665976829827
