layer_idx,layer_name,block_name,layer_type,fid_sensitivity,w_std,w_kurtosis,w_delta_over_std,pch_delta_over_std_mean,act_std_mean,act_std_cv,act_delta_over_std_mean,act_err_rel_l2_mean,w_err_std_ratio,w_err_kurtosis,w_err_pch_kurtosis_mean,w_err_entropy_ratio
47,model.input_blocks.12.0.out_layers.3,model.input_blocks.12,out_layers,0.0,0.07048530876636505,1.2483473489432964,0.07835232193329368,0.04160095751285553,0.1825616044551134,0.05896717521426927,0.08929790729958743,0.05744371255859733,0.9998787803191277,-0.8900084438267108,-1.199322990224364,0.9999818816197433
48,model.input_blocks.13.0.in_layers.2,model.input_blocks.13,in_layers,0.0,0.0837361142039299,0.20403521531387536,0.07950698570121861,0.032933082431554794,0.48322462037205693,0.007828428193907482,0.0621236680594475,0.03236810592701658,1.0005292846780447,-0.9040308295134416,-1.2003304280729479,0.9999825852599081
49,model.input_blocks.13.0.emb_layers.1,model.input_blocks.13,emb_layers,0.0,0.050434064120054245,0.7752307448379296,0.05261172321406852,0.02290436066687107,0.13566144950687886,0.33461811725941315,0.1312450765659919,0.04323818646371365,0.9989050369270781,-0.5852182309260989,-1.1920657995378208,0.9999111381527339
50,model.input_blocks.13.0.cond_emb_layers.1,model.input_blocks.13,cond_emb_layers,0.0,0.11054765433073044,0.35862123132501234,0.04485171209189849,0.027565671131014824,0.07437130622565746,0.0,0.03004162395359375,0.008842556913150475,1.0009057946601063,-1.045252171071359,-1.192374849863987,0.9998419980630077
51,model.input_blocks.13.0.out_layers.3,model.input_blocks.13,out_layers,0.0,0.07593531161546707,1.189938684470949,0.08302529038306128,0.04338334873318672,0.19150286216288806,0.05784873388314808,0.09458719873731271,0.11197535424958914,1.0003391197789613,-0.7983801147058567,-1.198840183013954,0.9999885266285369
52,model.input_blocks.14.0.in_layers.2,model.input_blocks.14,in_layers,0.0,0.07879745960235596,0.18497077747527513,0.07761665565895198,0.03339815512299538,0.4949352145940065,0.003871844437227845,0.06643103527239677,0.134618079951033,1.0000287855299683,-0.6501346728543878,-1.198816256183034,0.9999888826253831
53,model.input_blocks.14.0.emb_layers.1,model.input_blocks.14,emb_layers,0.0,0.04623287916183472,1.8988301450398986,0.05999674566662015,0.024152617901563644,0.13566144950687886,0.33461811725941315,0.1308320389451314,0.04344042239710689,0.9981201163365614,-0.13543933418133136,-1.1885597594981157,0.999902565145167
54,model.input_blocks.14.0.cond_emb_layers.1,model.input_blocks.14,cond_emb_layers,0.0,0.10628635436296463,0.3511186535049191,0.04338212607277034,0.02767270989716053,0.07437130622565746,0.0,0.029805381072590075,0.008691124037140981,1.0002439340911464,-0.9842987875744935,-1.1945185425332934,0.9998314725369739
55,model.input_blocks.14.0.out_layers.3,model.input_blocks.14,out_layers,0.0,0.0791345164179802,1.4660863670502131,0.09111302545255955,0.047072380781173706,0.20839033169671894,0.0486311542549919,0.10370291563727715,0.0554065773030743,0.9996646641406809,-0.6681331557710211,-1.1989620074061917,0.9999893762353538
56,model.middle_block.0.in_layers.2,model.middle_block,in_layers,0.0,0.08044547587633133,0.11764581544631447,0.08735471237080329,0.03257802501320839,0.47196720145642757,0.004206629022312364,0.06693005785848273,0.12028078286908567,0.9994545742548856,-0.7255043773046101,-1.1978550803783459,0.9999912907535207
57,model.middle_block.0.emb_layers.1,model.middle_block,emb_layers,0.0,0.04686255753040314,1.0179843390183736,0.05290953265948543,0.023975763469934464,0.13566144950687886,0.33461811725941315,0.13094894811913788,0.04400543363764882,0.99903522038948,-0.6593150606975655,-1.190025181157492,0.9999146671200468
58,model.middle_block.0.cond_emb_layers.1,model.middle_block,cond_emb_layers,0.0,0.10028939694166183,0.48114627909704444,0.050227570155243796,0.02755882404744625,0.07437130622565746,0.0,0.03021177643995058,0.008837805007351563,1.0004904670873522,-0.9128179955975471,-1.194038028515298,0.9998271437782552
59,model.middle_block.0.out_layers.3,model.middle_block,out_layers,0.0,0.07634193450212479,0.9544932264538688,0.0968456166999641,0.04429440200328827,0.281695757471025,0.05501378813374258,0.07162773641883496,0.13360834920778872,1.0002482700986173,-0.5696579868729326,-1.199395239827844,0.9999886242492433
60,model.middle_block.2.in_layers.2,model.middle_block,in_layers,0.0,0.08158138394355774,0.08919162718019269,0.0655335326320446,0.032082147896289825,0.45025863505899905,0.003562250790673896,0.06383542658715308,0.0843459574924782,1.000137701908108,-0.9503998355891659,-1.1990970717450873,0.9999893202154181
61,model.middle_block.2.emb_layers.1,model.middle_block,emb_layers,0.0,0.04682149738073349,0.8651208962687065,0.053667027970214755,0.02403489127755165,0.13566144950687886,0.33461811725941315,0.1310332053373676,0.04427506390959025,0.9987686591682892,-0.7421333932976171,-1.1917276184141627,0.9999147779963882
62,model.middle_block.2.cond_emb_layers.1,model.middle_block,cond_emb_layers,0.0,0.09584859013557434,0.5236275216144399,0.04833340174178555,0.027240317314863205,0.07437130622565746,0.0,0.03081340001768472,0.008983542915666476,0.9994496188177759,-0.8967915075751294,-1.1934508477842367,0.9998486447120398
63,model.middle_block.2.out_layers.3,model.middle_block,out_layers,0.0,0.07665053755044937,0.3097400466905822,0.08070896813812499,0.035899147391319275,0.32136897418648,0.06965626297067032,0.0658628260999763,0.12657557290047408,1.000275008811355,-0.6629758010946558,-1.1994755351012936,0.9999911408958561
64,model.output_blocks.0.0.in_layers.2,model.output_blocks.0,in_layers,0.0,0.07823792845010757,0.09636699442365027,0.07319488548600189,0.03396492078900337,0.44885274186730384,0.0034380411660167704,0.06976799801417789,0.051678881677798924,1.0000029759616889,-0.8416592181411873,-1.1999760443324448,0.9999949784387658
65,model.output_blocks.0.0.emb_layers.1,model.output_blocks.0,emb_layers,0.0,0.050349075347185135,1.8801811159730208,0.0543773001568278,0.02416311763226986,0.13566144950687886,0.33461811725941315,0.13077441384190314,0.04473052751272917,0.999623678546253,-0.3632946229355132,-1.1927045170606105,0.9999170997765441
66,model.output_blocks.0.0.cond_emb_layers.1,model.output_blocks.0,cond_emb_layers,0.0,0.10203073173761368,0.5210242504538329,0.04459187146989116,0.02713540568947792,0.07437130622565746,0.0,0.030712522257086042,0.008913500898052007,0.9981752455744064,-0.9523493775583773,-1.1884333546458166,0.9998237440934592
67,model.output_blocks.0.0.out_layers.3,model.output_blocks.0,out_layers,0.0,0.08473964780569077,0.33822000815139486,0.07189999458398269,0.037741534411907196,0.349071061052382,0.07794315321583083,0.09349134240979476,0.06881012891884893,1.000256735637013,-0.8198890804094829,-1.1997670011581714,0.9999874417298196
68,model.output_blocks.1.0.in_layers.2,model.output_blocks.1,in_layers,0.0,0.0792100802063942,0.14229154746156425,0.07457562008191754,0.035208508372306824,0.44861824113875626,0.006347970802360614,0.07207626250342603,0.10776495173573494,1.0000951677395833,-0.6523638650325827,-1.2000194205094612,0.9999948341869774
69,model.output_blocks.1.0.emb_layers.1,model.output_blocks.1,emb_layers,0.0,0.05511278659105301,2.700376292966215,0.04953640186354808,0.023608805611729622,0.13566144950687886,0.33461811725941315,0.130855140391113,0.0446847222186625,0.9990078622471037,0.04100355510065201,-1.1916785698604895,0.9999062970683793
70,model.output_blocks.1.0.cond_emb_layers.1,model.output_blocks.1,cond_emb_layers,0.0,0.11307919025421143,0.40477344063647536,0.041276483857399245,0.02750461921095848,0.07437130622565746,0.0,0.030217368392951655,0.008786275765160098,0.998835041377904,-1.0305502725445574,-1.1907916645355279,0.9998486405667689
71,model.output_blocks.1.0.out_layers.3,model.output_blocks.1,out_layers,0.0,0.09190496057271957,0.9105737363438471,0.0891849140722774,0.04224230349063873,0.30621861178427934,0.07967978093190953,0.10550990960165003,0.04717572695342824,0.9997279492021023,-0.6888906361807692,-1.1987145417117098,0.9999884431522379
72,model.output_blocks.2.0.in_layers.2,model.output_blocks.2,in_layers,0.0,0.08118895441293716,0.30437044102256605,0.0898738858563388,0.0383945070207119,0.470749862678349,0.011498192943722872,0.06952123638305537,0.3482266162708402,0.9998066167662182,-0.030894503200557644,-1.1992523478093948,0.9999937284239753
73,model.output_blocks.2.0.emb_layers.1,model.output_blocks.2,emb_layers,0.0,0.05336512625217438,1.1077425384477797,0.05405987569914904,0.022672895342111588,0.13566144950687886,0.33461811725941315,0.13109949349296568,0.04276534341275692,0.9983504409238878,-0.4892333688076387,-1.1891475016052786,0.9999169414699938
74,model.output_blocks.2.0.cond_emb_layers.1,model.output_blocks.2,cond_emb_layers,0.0,0.1110321432352066,0.4523061690697565,0.043608555711027196,0.027860471978783607,0.07437130622565746,0.0,0.030294803961102724,0.008844545158790424,0.9997640825976936,-1.0294308785077866,-1.193276704182356,0.9998316574308113
75,model.output_blocks.2.0.out_layers.3,model.output_blocks.2,out_layers,0.0,0.09074357897043228,0.8160756894739025,0.08463085548407821,0.0415312722325325,0.2652306744083762,0.0738870985959987,0.07282004388799548,0.11853344113565982,1.0001578333713659,-0.738159246832272,-1.1996851720144974,0.999989329289245
76,model.output_blocks.2.1.in_layers.2,model.output_blocks.2,in_layers,0.0,0.08117347210645676,0.5324033545658309,0.0802746747111551,0.03761469945311546,0.5312595155090094,0.01545011521117516,0.05975445670743212,0.30896995045244696,1.0000035953913275,-0.6704710581129372,-1.1981433865788316,0.9999896731097597
77,model.output_blocks.2.1.emb_layers.1,model.output_blocks.2,emb_layers,0.0,0.05038529634475708,2.0044374089059342,0.05768404315329581,0.023687580600380898,0.13566144950687886,0.33461811725941315,0.13116526512089172,0.042000713385641576,0.9984375740263994,-0.09981336275409092,-1.190717622467036,0.9999077211657951
78,model.output_blocks.2.1.cond_emb_layers.1,model.output_blocks.2,cond_emb_layers,0.0,0.11381033807992935,0.43337058154522223,0.047638181749950624,0.027776706963777542,0.07437130622565746,0.0,0.029837704620717633,0.008715251706307754,1.0003943522550793,-1.01965147231893,-1.1946905045401692,0.9998511795265435
79,model.output_blocks.2.1.out_layers.3,model.output_blocks.2,out_layers,0.0,0.09808339178562164,1.8562466748248232,0.08012671558880932,0.0437551811337471,0.2965844134427607,0.06020602046376093,0.09380108134775204,0.06887164419982582,1.0005564363438748,-0.8709983031492108,-1.1991501922187897,0.9999875949128243
80,model.output_blocks.3.0.in_layers.2,model.output_blocks.3,in_layers,0.0,0.07883688807487488,0.7036734862820264,0.0982241931651265,0.042438119649887085,0.4933370117470622,0.017237814194147397,0.08403769814795364,0.2528105609305203,1.0004431839582641,-0.4657626164635804,-1.200633521892022,0.9999934520243443
81,model.output_blocks.3.0.emb_layers.1,model.output_blocks.3,emb_layers,0.0,0.05021120235323906,2.370277427776836,0.06532213698330831,0.024036072194576263,0.13566144950687886,0.33461811725941315,0.13164242290138164,0.04140686420723796,0.999357943231247,0.866433114686104,-1.1920142676870193,0.9999123279438105
82,model.output_blocks.3.0.cond_emb_layers.1,model.output_blocks.3,cond_emb_layers,0.0,0.10868891328573227,0.5986137228506978,0.043057837870474736,0.02812798134982586,0.07437130622565746,0.0,0.02988234025319538,0.008739334939746187,1.0002510575319916,-0.9859974232085271,-1.1910918199932892,0.9998147107759443
