layer_idx,layer_name,numel,w_min,w_max,w_range,w_mean,w_std,w_kurtosis,delta_int8,delta_over_std,precision_ratio,fp32_precision,int8_over_fp32,pch_delta_int8_mean,pch_delta_over_std_mean,pch_delta_over_std_max
18,model.input_blocks.5.0.cond_emb_layers.1,65536,-0.573848307132721,0.8593652248382568,1.4332135319709778,9.416013199370354e-05,0.08413716405630112,1.4897201753278368,0.00564257296051566,0.06706397848961036,0.3473341168161811,1.7085236692082617e-07,33026.015748031496,0.0023505811113864183,0.028431570157408714,0.041503068059682846
19,model.input_blocks.5.0.out_layers.3,147456,-0.6650377511978149,0.6688857078552246,1.3339234590530396,-0.00039149215444922447,0.06830509006977081,2.9817192172320865,0.00525166716162614,0.0768854437668539,0.3473341168161811,1.590160678688335e-07,33026.015748031496,0.0026872451417148113,0.04107622429728508,0.08113677054643631
20,model.input_blocks.6.0.in_layers.2,147456,-1.1008907556533813,1.365673542022705,2.4665642976760864,-0.003098215674981475,0.08410317450761795,4.23511579504358,0.009710883061716876,0.11546393008889115,0.3473341168161811,2.94037377557288e-07,33026.015748031496,0.0036159176379442215,0.04299159720540047,0.09892769157886505
21,model.input_blocks.6.0.emb_layers.1,131072,-0.44287654757499695,0.32989081740379333,0.7727673649787903,-0.0016983909299597144,0.048004355281591415,2.2131481865649896,0.0030423912007038986,0.06337739946290268,0.34733411681618115,9.212104856715086e-08,33026.015748031496,0.001326825236901641,0.028611280024051666,0.05153495445847511
22,model.input_blocks.6.0.cond_emb_layers.1,65536,-0.5193503499031067,0.7900076508522034,1.30935800075531,-0.009156227111816406,0.0932910367846489,1.214865971169397,0.005154952758879174,0.05525667777413069,0.3473341168161811,1.560876370376718e-07,33026.015748031496,0.0026574740186333656,0.02926337532699108,0.08141311258077621
23,model.input_blocks.6.0.out_layers.3,147456,-0.9167006015777588,0.7608218789100647,1.6775224804878235,0.0003511562244966626,0.07778573036193848,3.8291485794647073,0.0066044192145189905,0.08490527997492081,0.3473341168161811,1.9997626310441774e-07,33026.015748031496,0.0032722880132496357,0.042891282588243484,0.08264479041099548
24,model.input_blocks.7.0.in_layers.2,294912,-1.125975251197815,1.5609493255615234,2.6869245767593384,-0.002482181414961815,0.0866638571023941,4.501127810241329,0.010578443215587947,0.1220629172201205,0.3473341168161811,3.2030636987201433e-07,33026.015748031496,0.003891309956088662,0.04519648849964142,0.09198201447725296
25,model.input_blocks.7.0.emb_layers.1,262144,-0.44436657428741455,0.4526127874851227,0.8969793617725372,-0.0009914441034197807,0.04600667208433151,2.6592309866151327,0.0035314148101280992,0.07675875367768742,0.3473341168161811,1.0692827245861736e-07,33026.015748031496,0.0012447909684851766,0.02810610644519329,0.05425339192152023
26,model.input_blocks.7.0.cond_emb_layers.1,131072,-0.7999836802482605,0.5670315623283386,1.3670152425765991,-0.006366290617734194,0.08967148512601852,1.0085129903464942,0.005381949773923618,0.06001851944684706,0.3473341168161811,1.6296091587264527e-07,33026.015748031496,0.0025184813421219587,0.028453752398490906,0.050213102251291275
27,model.input_blocks.7.0.out_layers.3,589824,-1.3672887086868286,0.896969735622406,2.2642584443092346,-0.000926906883250922,0.06634233891963959,3.39503756654811,0.008914403324052104,0.13436974742050836,0.34733411681618115,2.6992064050546105e-07,33026.015748031496,0.0031321770511567593,0.04729129374027252,0.1694641411304474
28,model.input_blocks.8.0.in_layers.2,589824,-1.3244229555130005,1.5701403617858887,2.894563317298889,-0.0001945408876053989,0.08494959771633148,6.100483960323377,0.011395918572042871,0.13414917643239016,0.3473341168161811,3.450588366149532e-07,33026.015748031496,0.004704826511442661,0.055356837809085846,0.11757630854845047
29,model.input_blocks.8.0.emb_layers.1,262144,-0.5372994542121887,0.5186623334884644,1.055961787700653,-0.0005892989574931562,0.04904688149690628,2.6483818966623227,0.004157329872837217,0.08476236910219635,0.3473341168161811,1.2588045450456775e-07,33026.015748031496,0.0011974989902228117,0.02611384354531765,0.0530356764793396
30,model.input_blocks.8.0.cond_emb_layers.1,131072,-0.7197917699813843,0.6601463556289673,1.3799381256103516,-0.003587323473766446,0.09440507739782333,1.2348594654923595,0.005432827266182486,0.057548041015113884,0.34733411681618115,1.6450144357804675e-07,33026.015748031496,0.002639372367411852,0.028608884662389755,0.05090964213013649
31,model.input_blocks.8.0.out_layers.3,589824,-0.7179725766181946,1.1110049486160278,1.8289775252342224,-0.0006182445795275271,0.06670985370874405,3.371371172747611,0.00720069891824497,0.10794055926992974,0.3473341168161811,2.1803111138751774e-07,33026.015748031496,0.0029293647967278957,0.044096045196056366,0.10770360380411148
