layer_idx,layer_name,act_std_mean,act_std_cv,delta_over_std_mean,delta_over_std_max,err_rel_l2_mean,err_rel_l2_max
39,model.input_blocks.10.0.out_layers.3,0.16259557953104375,0.10187232922985993,0.10929591556941648,0.12564164589323729,0.05070127948187292,0.05885300459340215
40,model.input_blocks.11.0.in_layers.2,0.44935902178287507,0.009507882153839414,0.08136032080208792,0.0830108341184807,0.05249557817354798,0.06899364269338548
41,model.input_blocks.11.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13122507503094352,0.2686596787109293,0.04097307328134775,0.11099009960889816
42,model.input_blocks.11.0.cond_emb_layers.1,0.07437130622565746,0.0,0.029591415146660097,0.03149818729941956,0.010201647055801004,0.07169882720336318
43,model.input_blocks.11.0.out_layers.3,0.18172987729310988,0.08279965406845013,0.1099039717488787,0.12702486149703687,0.08788687095046044,0.09975146874785423
44,model.input_blocks.12.0.in_layers.2,0.3721298500522971,0.038714025084801214,0.07307740395066377,0.08086818585898335,0.022469622765202077,0.023691474925726652
45,model.input_blocks.12.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13116537024379757,0.2666871154162192,0.04258398124948144,0.12219582498073578
46,model.input_blocks.12.0.cond_emb_layers.1,0.07437130622565746,0.0,0.03079126828540075,0.033168449743033825,0.008946807738393545,0.009661098709329963
47,model.input_blocks.12.0.out_layers.3,0.1825616044551134,0.05896717521426927,0.08929790729958743,0.09687600198302937,0.05744371255859733,0.06238049012608826
48,model.input_blocks.13.0.in_layers.2,0.48322462037205693,0.007828428193907482,0.0621236680594475,0.06303555151284979,0.03236810592701658,0.03477194393053651
49,model.input_blocks.13.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1312450765659919,0.2664119468646847,0.04323818646371365,0.12513600289821625
50,model.input_blocks.13.0.cond_emb_layers.1,0.07437130622565746,0.0,0.03004162395359375,0.03346673940408957,0.008842556913150475,0.010060044121928513
51,model.input_blocks.13.0.out_layers.3,0.19150286216288806,0.05784873388314808,0.09458719873731271,0.11047506071367573,0.11197535424958914,0.12262215837836266
52,model.input_blocks.14.0.in_layers.2,0.4949352145940065,0.003871844437227845,0.06643103527239677,0.06786038824678467,0.134618079951033,0.14273945055902004
53,model.input_blocks.14.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1308320389451314,0.2670633534722612,0.04344042239710689,0.13460952043533325
54,model.input_blocks.14.0.cond_emb_layers.1,0.07437130622565746,0.0,0.029805381072590075,0.033618771336249256,0.008691124037140981,0.009817874408327043
55,model.input_blocks.14.0.out_layers.3,0.20839033169671894,0.0486311542549919,0.10370291563727715,0.1259452671135317,0.0554065773030743,0.06022722413763404
56,model.middle_block.0.in_layers.2,0.47196720145642757,0.004206629022312364,0.06693005785848273,0.06817074334861972,0.12028078286908567,0.12998075876384974
57,model.middle_block.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13094894811913788,0.26582234609596606,0.04400543363764882,0.13310980796813965
58,model.middle_block.0.cond_emb_layers.1,0.07437130622565746,0.0,0.03021177643995058,0.03397676562799063,0.008837805007351563,0.009906492312438786
59,model.middle_block.0.out_layers.3,0.281695757471025,0.05501378813374258,0.07162773641883496,0.09083748240433469,0.13360834920778872,0.14615733828395605
60,model.middle_block.2.in_layers.2,0.45025863505899905,0.003562250790673896,0.06383542658715308,0.06539133389538572,0.0843459574924782,0.09680364653468132
61,model.middle_block.2.emb_layers.1,0.13566144950687886,0.33461811725941315,0.1310332053373676,0.26634714244284363,0.04427506390959025,0.13139215111732483
62,model.middle_block.2.cond_emb_layers.1,0.07437130622565746,0.0,0.03081340001768472,0.03331596012695483,0.008983542915666476,0.010850346414372325
63,model.middle_block.2.out_layers.3,0.32136897418648,0.06965626297067032,0.0658628260999763,0.08990413068533476,0.12657557290047408,0.14386466797441244
64,model.output_blocks.0.0.in_layers.2,0.44885274186730384,0.0034380411660167704,0.06976799801417789,0.07124365966598059,0.051678881677798924,0.05660226522013545
65,model.output_blocks.0.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.13077441384190314,0.265444853073672,0.04473052751272917,0.12986738979816437
66,model.output_blocks.0.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030712522257086042,0.03360406447208978,0.008913500898052007,0.009810948511585593
67,model.output_blocks.0.0.out_layers.3,0.349071061052382,0.07794315321583083,0.09349134240979476,0.1436408407569336,0.06881012891884893,0.07568977912887931
68,model.output_blocks.1.0.in_layers.2,0.44861824113875626,0.006347970802360614,0.07207626250342603,0.0731517175414388,0.10776495173573494,0.14100968651473522
69,model.output_blocks.1.0.emb_layers.1,0.13566144950687886,0.33461811725941315,0.130855140391113,0.265561271779675,0.0446847222186625,0.12985476851463318
70,model.output_blocks.1.0.cond_emb_layers.1,0.07437130622565746,0.0,0.030217368392951655,0.03366759648450153,0.008786275765160098,0.009833977557718754
71,model.output_blocks.1.0.out_layers.3,0.30621861178427934,0.07967978093190953,0.10550990960165003,0.17355860472301177,0.04717572695342824,0.05157095054164529
72,model.output_blocks.2.0.in_layers.2,0.470749862678349,0.011498192943722872,0.06952123638305537,0.07062484690537274,0.3482266162708402,0.38957370072603226
