model,block_id,block_name,layer_name,layer_type,weight_shape,weight_bytes,act_bytes,dm_per_exec,cim_rows,cim_cols,cim_max_dim,cim_array_size,num_params,cim_weight_bits,cim_cell_count_w8,cim_arrays_256x256,cim_arrays_32x32,is_quantized,seq_len
qdiffae,26,decoder_layer_10,decoder_layer_10[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,26,decoder_layer_10,decoder_layer_10[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,26,decoder_layer_10,decoder_layer_10[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,26,decoder_layer_10,decoder_layer_10[0].skip_connection,conv2d,"(128, 256, 1, 1)",32768,4194304,4227072,256,128,256,32768,32768,8,262144,4,256,False,1
qdiffae,27,decoder_layer_11,decoder_layer_11[0].in_layers.conv,conv2d,"(128, 256, 3, 3)",294912,4194304,4489216,2304,128,2304,294912,294912,8,2359296,36,2304,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,2097152,2244608,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[0].skip_connection,conv2d,"(128, 256, 1, 1)",32768,4194304,4227072,256,128,256,32768,32768,8,262144,4,256,False,1
qdiffae,27,decoder_layer_11,decoder_layer_11[1].in_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[1].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[1].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,27,decoder_layer_11,decoder_layer_11[1].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,28,decoder_layer_12,decoder_layer_12[0].in_layers.conv,conv2d,"(128, 256, 3, 3)",294912,16777216,17072128,2304,128,2304,294912,294912,8,2359296,36,2304,True,1
qdiffae,28,decoder_layer_12,decoder_layer_12[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,28,decoder_layer_12,decoder_layer_12[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,28,decoder_layer_12,decoder_layer_12[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,28,decoder_layer_12,decoder_layer_12[0].skip_connection,conv2d,"(128, 256, 1, 1)",32768,16777216,16809984,256,128,256,32768,32768,8,262144,4,256,False,1
qdiffae,29,decoder_layer_13,decoder_layer_13[0].in_layers.conv,conv2d,"(128, 256, 3, 3)",294912,16777216,17072128,2304,128,2304,294912,294912,8,2359296,36,2304,True,1
qdiffae,29,decoder_layer_13,decoder_layer_13[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,29,decoder_layer_13,decoder_layer_13[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,29,decoder_layer_13,decoder_layer_13[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,29,decoder_layer_13,decoder_layer_13[0].skip_connection,conv2d,"(128, 256, 1, 1)",32768,16777216,16809984,256,128,256,32768,32768,8,262144,4,256,False,1
qdiffae,30,decoder_layer_14,decoder_layer_14[0].in_layers.conv,conv2d,"(128, 256, 3, 3)",294912,16777216,17072128,2304,128,2304,294912,294912,8,2359296,36,2304,True,1
qdiffae,30,decoder_layer_14,decoder_layer_14[0].emb_layers.linear,linear,"(256, 512)",131072,2048,133120,512,256,512,131072,131072,8,1048576,16,1024,True,1
qdiffae,30,decoder_layer_14,decoder_layer_14[0].cond_emb_layers.linear,linear,"(128, 512)",65536,2048,67584,512,128,512,65536,65536,8,524288,8,512,True,1
qdiffae,30,decoder_layer_14,decoder_layer_14[0].out_layers.conv,conv2d,"(128, 128, 3, 3)",147456,8388608,8536064,1152,128,1152,147456,147456,8,1179648,18,1152,True,1
qdiffae,30,decoder_layer_14,decoder_layer_14[0].skip_connection,conv2d,"(128, 256, 1, 1)",32768,16777216,16809984,256,128,256,32768,32768,8,262144,4,256,False,1
