idx,layer_name,numel,residual_mean,residual_std,residual_abs_max,residual_MAE,residual_RMSE,residual_rel_L2,residual_q99_abs,residual_q999_abs,w_lora_mean,w_lora_std,w_lora_q_mean,w_lora_q_std,ks_distance
32,model.input_blocks.9.0.in_layers.2,589824,2.2425047063734382e-06,0.0010960795916616917,0.0059166112914681435,0.0008895926875993609,0.0010960818035528064,0.013658952682063222,0.002963159009814264,0.004393017344176841,-0.0008951446507126093,0.08024141937494278,-0.000892902200575918,0.08024627715349197,0.010470000000000035
33,model.input_blocks.9.0.emb_layers.1,262144,-1.417919861523842e-06,0.00036417521187104285,0.0021473243832588196,0.0002867151633836329,0.0003641779185272753,0.007976511435392008,0.0010568765178322794,0.0014807116193696853,-0.0007696726825088263,0.04564980790019035,-0.0007710906793363392,0.04565003514289856,0.005700000000000038
34,model.input_blocks.9.0.cond_emb_layers.1,131072,1.95147595150047e-06,0.000819236331153661,0.0021524839103221893,0.0006971522234380245,0.0008192386594600976,0.008101426711470782,0.0017384890676476054,0.002006926331669096,-0.009303010068833828,0.10069394111633301,-0.009301058016717434,0.10069813579320908,0.005469999999999975
35,model.input_blocks.9.0.out_layers.3,589824,4.41442949750126e-07,0.001061542658135295,0.0033502504229545593,0.0008981212158687413,0.001061542658135295,0.012562609737875268,0.0023222175985574724,0.0028152309581637456,-0.001504055573605001,0.08448679745197296,-0.001503614243119955,0.08449538797140121,0.012260000000000049
36,model.input_blocks.10.0.in_layers.2,884736,3.8675878499816463e-07,0.0010708466870710254,0.00463443249464035,0.0008832665625959635,0.0010708466870710254,0.012926985005352084,0.002715706080198289,0.003910904754884543,-0.0027024815790355206,0.08279401063919067,-0.002702094381675124,0.08280046284198761,0.009629999999999972
37,model.input_blocks.10.0.emb_layers.1,393216,1.2562526308101951e-06,0.00034375631366856396,0.001799076795578003,0.00027903594309464097,0.0003437585837673396,0.0070493580451515105,0.0008858026936650275,0.0012053795717656575,-0.0006937974249012768,0.0487595871090889,-0.0006925412453711033,0.048760849982500076,0.005260000000000042
38,model.input_blocks.10.0.cond_emb_layers.1,196608,2.0101722384424647e-06,0.0008880304521881044,0.0024863481521606445,0.0007541636005043983,0.00088803272228688,0.008138481378201893,0.0018708481080830096,0.0022351599745452427,-0.007775871083140373,0.10883786529302597,-0.007773860823363066,0.1088470071554184,0.006170000000000009
39,model.input_blocks.10.0.out_layers.3,1327104,1.1103326187367202e-06,0.0010101123480126262,0.0029760077595710754,0.0008596151601523161,0.0010101129300892353,0.013544197422317836,0.0021647615078836677,0.002612468287348759,-0.0010954290628433228,0.07457097619771957,-0.0010943182278424501,0.07457692176103592,0.011830000000000007
40,model.input_blocks.11.0.in_layers.2,1327104,-9.145849730884947e-07,0.0009753916529007256,0.004378792829811573,0.0008067779126577079,0.0009753921185620129,0.012020621903772618,0.002445249632000922,0.003740782038308686,-0.0027164777275174856,0.08109775185585022,-0.002717390423640609,0.08110442012548447,0.008629999999999971
41,model.input_blocks.11.0.emb_layers.1,393216,-1.1102723185274499e-08,0.00032328307861462235,0.0015311315655708313,0.0002633692929521203,0.0003232830495107919,0.006877720579361364,0.000796842761337757,0.001169231422245487,-0.00027266275719739497,0.047003600746393204,-0.00027267387486062944,0.04700445756316185,0.005149999999999988
42,model.input_blocks.11.0.cond_emb_layers.1,196608,1.6721099882488488e-07,0.0008577858097851276,0.002779196947813034,0.0007295075338333845,0.0008577859262004495,0.008147225178865332,0.001822203993797302,0.002213767647743229,-0.006270626559853554,0.10509873926639557,-0.006270458921790123,0.10510246455669403,0.006310000000000038
43,model.input_blocks.11.0.out_layers.3,1327104,-6.53320796573098e-07,0.0010249607730656862,0.003653501160442829,0.000866742164362222,0.0010249610058963299,0.013168946367822822,0.0023038870468735694,0.0029753843974322197,-0.0016525036189705133,0.07781412452459335,-0.0016531578730791807,0.0778191089630127,0.01053000000000004
